Brand Name,Name of the Product,Price,Return/Exchange,Expected Delivery,Availability,Product URL
JUAREZ,Juârez Acoustic Guitar,"1,999",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Juarez-Acoustic-Cutaway-038C-Strings/dp/B017NPCSLI/ref=sr_1_1?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-1
Intern,Intern INT-38C Right hand Acoustic Guitar Kit,"2,161",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Black/dp/B073B6TQQY/ref=sr_1_2?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-2
JUAREZ,Juarez Lindenwood Acoustic Guitar Kit,"1,999",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDS6/ref=sr_1_3?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-3
REVEL,Revel 38 Inches Cutaway Design Acoustic Guitar with Carry bag and Plectrums. Great tone and Beginner/Learners standard size configuration for all age groups (Sunburst),"2,111",7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/Revel-RVL-38C-LGP-3TS-Linden-Acoustic-Sunburst/dp/B085HV4YW7/ref=sr_1_4?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-4
Medellin,Medellin M38 carbon fiber body 38 Incheses Acoustic Guitar (Blue Burst) Durable Matt finish With hAndrest,"2,349",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Medellin-Acoustic-Guitar-Carbon-Learning/dp/B09MSGMQ3Y/ref=sr_1_5?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-5
Intern,Intern 38C Wooden Acoustic Steel-String Guitar Premium White Cutaway Design With Carry Bag,"2,137",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-Acoustic-Steel-string-plectrums-INT-38C-WH/dp/B09LR94Z2X/ref=sr_1_6?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-6
HOVNER,Hovner Standard 185 Natural Rosewood Fretboard Acoustic Guitar With Bag,"4,075",7 days Replacement,"Wednesday, 17 May",Only 1 left in stock,https://www.amazon.in/Standard-Rosewood-Fretboard-Acoustic-K-Retail/dp/B07KLVKW5Z/ref=sr_1_7?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-7
Henrix,Henrix 38C 38 Inch Cutaway Acoustic Guitar With Dual Action Truss Rod,"2,999",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Henrix-Acoustic-Guitar-Die-cast-Dual-action/dp/B07VNDW6QF/ref=sr_1_8?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-8
Medellin,Medellin M38 carbon fiber body 38 Incheses Acoustic Guitar (Red) Durable Matt finish With hAndrest,"2,349",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Medellin-carbn-fiber-guitar-38inch/dp/B09MSGVCDV/ref=sr_1_9?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-9
JUAREZ,Juarez Lindenwood Acoustic Guitar,"2,789",7 days Replacement,"Tuesday, 16 May",In stock,https://www.amazon.in/Juarez-Acoustic-Guitar-Cutaway-Strings/dp/B076QHZ4HZ/ref=sr_1_10?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-10
REVEL,Revel 38 Inches Cutaway Design Acoustic Guitar with Carry bag and Plectrums. Great tone and Beginner/Learners standard size configuration for all age groups (Black)…,"2,115",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Acoustic-Plectrums-Beginner-Learners-configuration/dp/B0B4SSB8BJ/ref=sr_1_11?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-11
Fender,Fender 0147332370 (Player Plus Telecaster Electric Guitar Maple in Aged Candy Apple Red),"1,07,758",-,"Sunday, 14 May",In stock,https://www.amazon.in/Fender-0147332370-Player-Telecaster-Electric/dp/B09G2RB8WL/ref=sr_1_12?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-12
HOVNER,Hovner 215 Black F-Cut Rosewood Fretboard Acoustic Guitar With Bag,"4,580",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Rosewood-Fretboard-Acoustic-Strings-K-Retail/dp/B07KLG8C4P/ref=sr_1_13?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-13
JUAREZ,JUAREZ Wood Acoustic Guitar,"2,116",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Acoustic-Cutaway-TBLS-Strings-Sunburst/dp/B098BCCY75/ref=sr_1_14?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-14
JUAREZ,Juarez Lindenwood Acoustic Guitar Kit,"1,999",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Acoustic-Sunburst-Strings/dp/B01FYYTDTU/ref=sr_1_15?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-15
Medellin,"Medellin 38"" Acoustic Guitar premium wood with adjustable Truss-rod","1,949",7 days Replacement,May 17 - 20,In stock,https://www.amazon.in/Medellin-Acoustic-adjustable-Truss-rod-learning/dp/B0BML6H5HT/ref=sr_1_16?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-16
Intern,Intern INT-38C Acoustic Guitar Kit (Red),"2,069",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Kit/dp/B073B6TF31/ref=sr_1_17?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-17
YAMAHA,Yamaha F280 Acoustic Rosewood Guitar (Natural,"7,200",7 days Replacement,"Tuesday, 16 May",In stock,https://www.amazon.in/Yamaha-F280-Acoustic-Guitar-Natural/dp/B08317Y4VP/ref=sr_1_18?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-18
ESH Creations,ESH Creations E41CHEQ Jumbo High Gloss Semi Acoustic Guitar with Foam Padded Bag,"6,497",7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/ESH-Creations-E41CHEQ-Acoustic-Strings/dp/B0BMGDVH1X/ref=sr_1_19?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-19
Intern,Intern INT-38C-BK-G Cutaway Right Handed Acoustic Guitar Kit,"2,161",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-INT-38C-BK-G-Guitar-Kit-Black/dp/B07K9497RC/ref=sr_1_20?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-20
MUSTANG,MUSTANG Pack of 2 Universal Guitar Stand by Hola! Music Fits Acoustic Classical Electric Bass Guitars Mandolins Banjos Ukuleles and Other Stringed Instruments,"1,190",-,"Sunday, 14 May",In stock,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTczMjE1MDI3MTk4MTY1OjE2ODM5MDk0MDI6c3BfbXRmOjIwMDg2MzMyMTYyOTAxOjowOjo&url=%2FUniversal-Acoustic-Classical-Mandolins-Instruments%2Fdp%2FB08XBRNC7T%2Fref%3Dsr_1_21_sspa%3Fcrid%3D2LCNP7TDWFIX2%26keywords%3Dguiter%26qid%3D1683909402%26sprefix%3Dguiter%252Caps%252C678%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
YAMAHA,Yamaha FS100C Acoustic Guitar,"9,990",7 days Replacement,"Tuesday, 16 May",In stock,https://www.amazon.in/Yamaha-FS-100C-6-String-Acoustic-without/dp/B00PAS9CK6/ref=sr_1_22?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-22
YAMAHA,Yamaha FX280 Tobacco Brown Sunburst Electro Acoustic Guitar,"11,190",7 days Replacement,"Thursday, 18 May",Only 1 left in stock,https://www.amazon.in/FX280-acoustic-Dreadnought-Tobacco-Sunburst/dp/B09HR7BXGW/ref=sr_1_23?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-23
YAMAHA,Yamaha F-600 6-Strings Acoustic Guitar (Natural),"14,490",7 days Replacement,"Monday, 15 May",Only 2 left in stock,https://www.amazon.in/Yamaha-6-Strings-Acoustic-Guitar-Natural/dp/B006N4MPEQ/ref=sr_1_24?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-24
YAMAHA,Yamaha FS100C Acoustic Guitar Concert body With Sponge Bag,"12,831",7 days Replacement,"Monday, 15 May",Only 2 left in stock,https://www.amazon.in/Yamaha-FS100C-6-Strings-Acoustic-Plectrums/dp/B085MFW67Z/ref=sr_1_25?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-25
YAMAHA,Yamaha Classic Guitar C40 - With Sponge Bag,"9,218",7 days Replacement,"Thursday, 18 May",In stock,https://www.amazon.in/Yamaha-Classic-Guitar-C40-Plectrums/dp/B08P7QBTCJ/ref=sr_1_26?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-26
YAMAHA,Yamaha FS100C Acoustic Guitar,"9,489",7 days Replacement,"Monday, 15 May",Only 2 left in stock,https://www.amazon.in/Yamaha-FS100C-Acoustic-Guitars-Natural/dp/B00QKD79QE/ref=sr_1_27?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-27
ESH Creations,ESH Creations E39CHEQ High Gloss Semi Acoustic Guitar with Foam Padded Bag,"5,397",7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/ESH-Creations-E39CHEQ-Acoustic-Strings/dp/B0BMVQL5J3/ref=sr_1_28?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-28
Intern,INTERN Cutaway Design Acoustic Guitar Pack -Humidity Proof body,"2,513",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Cutaway-Acoustic-Humidity-resistance-resonance/dp/B09RRH7R5F/ref=sr_1_29?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-29
-,JUAREZ Acoustic Guitar 3xE 1st String & 2 Pick Set JRGSE32,84,7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/JUAREZ-Acoustic-Guitar-String-JRGSE32/dp/B08MW1WPW5/ref=sr_1_30?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-30
YAMAHA,YAMAHA JR2 NATURAL GUITAR,"12,741",7 days Replacement,"Sunday, 14 May",Only 2 left in stock,https://www.amazon.in/Yamaha-WW36280-YAMAHA-NATURAL-GUITAR/dp/B0042HTCJW/ref=sr_1_31?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-31
YAMAHA,Yamaha FS100C,"11,593",7 days Replacement,"Monday, 15 May",In stock,https://www.amazon.in/FS100C-6-Strings-Acoustic-Plectrums-Natural/dp/B085MDF8D4/ref=sr_1_32?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-32
YAMAHA,Yamaha F310,"9,362",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Yamaha-F310-Acoustic-Guitar-Natural/dp/B08Z3C1GRM/ref=sr_1_33?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-33
Intern,Intern INT-38C 38 Incheses basswood-BLS-G Cutaway Right HAnded Acoustic Guitar Kit,"2,299",7 days Replacement,"Monday, 15 May",In stock,https://www.amazon.in/Intern-INT-38C-BLS-G-Guitar-Kit-Blue/dp/B07K8YXTNW/ref=sr_1_34?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-34
Intern,Intern INT-38C Lindenwood Acoustic Guitar Kit (Sunburst) With Carry Bag,"2,387",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Sunburst/dp/B073B5MJRM/ref=sr_1_35?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-35
JUAREZ,Juârez Acoustic Guitar,"2,876",7 days Replacement,"Sunday, 14 May",In stock,https://www.amazon.in/JUAREZ-JRZ38C-Handed-Acoustic-Strings/dp/B01FYYTDW2/ref=sr_1_36?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-36
Kadence,Kadence Frontier Series,"4,999",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Kadence-Frontier-Acoustic-Natural-Equalizer/dp/B01I50UJG6/ref=sr_1_37?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-37
JUAREZ,Juarez JRZ-ST01 38 Inches Wood 6-String Electric Guitar,"5,749",7 days Replacement,"Tuesday, 16 May",In stock,https://www.amazon.in/Juarez-JRZ-ST01-6-String-Electric-Without/dp/B01FYZSOGM/ref=sr_1_38?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-38
Blueberry,Blueberry 38 Inch D38S Acoustic Guitar Kit Inbuilt Truss Rod,"2,849",7 days Replacement,"Monday, 15 May",Only 1 left in stock,https://www.amazon.in/Blueberry-Acoustic-Guitar-Inbuilt-Strings/dp/B07PHZ16BG/ref=sr_1_39?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-39
VAULT,Vault EA20CE Electro Acoustic Guitar Kit with Learn to Play Ebook,"5,499",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Cutaway-Electro-Acoustic-Strings-Polishing/dp/B093VHQZGD/ref=sr_1_40?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-40
Intern,Intern INT-38C Acoustic Guitar Kit (Blue),"2,030",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-INT-38C-Acoustic-Guitar-Blue/dp/B073B5RZBV/ref=sr_1_41?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-41
Blueberry,Blueberry B40L,"4,270",7 days Replacement,"Monday, 15 May",In stock,https://www.amazon.in/Blueberry-Acoustic-Inbuilt-Strings-Classic/dp/B09VLF8B8G/ref=sr_1_42?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-42
Intern,INTERN 41 inches Acoustic Guitar with truss rod. Includes carry bag,"3,231",7 days Replacement,"Tuesday, 16 May",In stock,https://www.amazon.in/Acoustic-strings-plectrums-stability-age-groups/dp/B09YHC3LX6/ref=sr_1_43?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-43
YAMAHA,Yamaha 22.8 Inches Merantiwood Classical Guitar C40//02 (Brown),"7,950",7 days Replacement,"Tuesday, 16 May",In stock,https://www.amazon.in/Yamaha-Classical-Guitar-C40-02/dp/B003UGCUFE/ref=sr_1_44?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-44
Intern,Intern INT-38C-NT-G 38 Incheses lindenwood Right HAnded Acoustic Guitar Kit With Bag,"2,372",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Intern-INT-38C-NT-G-Guitar-Kit-Natural/dp/B07K9MZZH9/ref=sr_1_45?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-45
Medellin,"Medellin 38"" Acoustic Guitar Carbon Fiber body+(Free Online Learning Course) - Durable Matt finish with handrest","2,349",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Medellin-Acoustic-specailized-learning-beginners/dp/B09MSGN39M/ref=sr_1_46?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-46
VAULT,Vault Traveller 34 Inch Acoustic Guitar With Truss Rod,"4,084",7 days Replacement,"Wednesday, 17 May",In stock,https://www.amazon.in/Traveller-Acoustic-Guitar-Strings-Polishing/dp/B07RK9962M/ref=sr_1_47?crid=2LCNP7TDWFIX2&keywords=guiter&qid=1683909402&sprefix=guiter%2Caps%2C678&sr=8-47
